NCTNumber,Title,Acronym,Status,Conditions,Interventions,OutcomeMeasures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,FundedBys,StudyType,StudyDesigns,OtherIDs,StartDate,PrimaryCompletionDate,CompletionDate,FirstPosted,ResultsFirstPosted,LastUpdatePosted,Locations,Rank,StudyDocuments,StudyResults,URL
NCT02503280,The Transendocardial Autologous Cells (hMSC) or (hMSC) and (hCSC) in Ischemic Heart Failure Trial.,TAC-HFT-II,Not yet recruiting,Chronic Ischemic Left Ventricular Dysfunction|Myocardial Infarction,Drug: Autologous hMSCs|Drug: Autologous Human C-Kit CSCs II|Drug: Placebo|Device: Biosense Webster MyoStar NOGA Injection Catheter System,Incidence of any treatment emergent serious adverse events (TE-SAEs)|Treatment Emergent adverse event rates|Ectopic tissue formation|48-hour ambulatory electrocardiogram (ECG) recordings.|Hematology value changes post-catheterization|Urinalysis results changes post-catheterization|Clinical chemistry values post-catheterization|Pulmonary function|Serial troponin I values|Creatine kinase-MB (CK-MB) value changes post-catheterization|Post-cardiac catheterization echocardiogram.|Magnetic resonance imaging (MRI) measures of infarct scar size (ISS)|Echocardiographic measures of infarct scar size (ISS)|Magnetic resonance imaging (MRI) of Left Regional Ventricular Function|Echocardiographic measures of Left Regional Ventricular Function|Magnetic resonance imaging (MRI) of Global Ventricular Function|Echocardiographic measures of Global Ventricular Function|Tissue perfusion measured by MRI.|Peak oxygen consumption (Peak VO2) (by treadmill determination).|Six-minute walk test.|New York Heart Association (NYHA) functional class.|Minnesota Living with Heart Failure (MLHF) questionnaire.|Incidence of Major Adverse Cardiac Events (MACE),Joshua M Hare|University of Miami,All,"21 Years to 89 Years   (Adult, Older Adult)",Phase 1|Phase 2,55.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,20120203,"March 1, 2025",March 2030,March 2032,"July 20, 2015",,"October 3, 2019","ISCI / University of Miami, Miami, Florida, United States",125,,No Results Available,https://ClinicalTrials.gov/show/NCT02503280
NCT01771679,Safety Study of Bone Marrow Derived Stem Cells on Patients With Cutaneous Photoaging,,Suspended,Chronic Effect of Ultraviolet Radiation on Photoaged Skin|Dermatologic Disorders,Biological: Allogeneic Mesenchymal Bone Marrow Cells,MSC Safety and Tolerability|MSC Efficacy,"Stemedica Cell Technologies, Inc.|StemCutis, LLC - A Stemedica Company",All,"40 Years to 70 Years   (Adult, Older Adult)",Phase 1|Phase 2,29.0,Industry|Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,STEM 102-M,July 2015,November 2018,May 2019,"January 18, 2013",,"April 17, 2018","eStudy Site, La Mesa, California, United States|Naval Medical Center San Diego, San Diego, California, United States",126,,No Results Available,https://ClinicalTrials.gov/show/NCT01771679
NCT03294759,Bio ACL Reconstruction Amnion Collagen Matrix Wrap and Stem Cells,Bio ACL RCT,"Active, not recruiting",ACL - Anterior Cruciate Ligament Rupture,Other: Bio ACL|Other: Control,Changes in ACL|Changes in patient-reported pain rating|Changes in Knee injury and Osteoarthritis Outcome Score (KOOS)|Changes in Short Form 12 (SF-12) patient ratings|Changes in Single Assessment Numerical Evaluation (SANE) patient ratings for function|Marx Activity Scale Rating,"Andrews Research & Education Foundation|Arthrex, Inc.",All,18 Years to 45 Years   (Adult),Not Applicable,40.0,Other|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",Bio ACL (RCT),"September 6, 2017","September 19, 2020","February 25, 2021","September 27, 2017",,"October 1, 2019","Andrews Institute, Gulf Breeze, Florida, United States",127,,No Results Available,https://ClinicalTrials.gov/show/NCT03294759
NCT02582489,Autologous Bone Marrow Aspirate Concentrate in Patients Undergoing Meniscectomy,,Not yet recruiting,Osteoarthritis Post-meniscectomy,Biological: Bone Marrow Aspirate Concentrate|Procedure: Standard Meniscectomy,International Knee Documentation Committee (IKDC) Score|Patient reported outcomes throughout follow-up period|Synovial fluid analysis|Radiographic analysis,Rush University Medical Center,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,100.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention",15090903,April 2017,January 2019,January 2020,"October 21, 2015",,"April 14, 2017","Rush University Medical Center, Chicago, Illinois, United States",128,,No Results Available,https://ClinicalTrials.gov/show/NCT02582489
NCT00702741,Follow-up Study of Chondrogen® Delivered by Intra-Articular Injection Following Meniscectomy,,Completed,Recovery Following Partial Medial Meniscectomy,Drug: Chondrogen|Drug: Placebo,Comparison of treatment adverse event rates|Concomitant Medications|Visual Analog Scale,"Mesoblast International Sàrl|Mesoblast, Ltd.",All,18 Years to 60 Years   (Adult),Phase 1|Phase 2,55.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",551,June 2008,September 2011,September 2011,"June 20, 2008",,"December 4, 2014","University of Southern California Keck School of Medicine, Los Angeles, California, United States|OrthoIndy, Indianapolis, Indiana, United States|TRIA Orthopaedic Center, Bloomington, Minnesota, United States|Unlimited Research, San Antonio, Texas, United States",129,,No Results Available,https://ClinicalTrials.gov/show/NCT00702741
NCT02633163,Phase 2 Trial of Mesenchymal Stem Cells in Systemic Lupus Erythematosus (MiSLE),,Recruiting,Systemic Lupus Erythematosus,Drug: Low Dose Mesenchymal Stem Cells (MSCs)|Drug: High Dose Mesenchymal Stem Cells (MSCs)|Drug: Placebo Infusion,Clinical response at Week 24 as defined by the SLE Responder Index (SRI):|Change in SLEDAI score between groups|Renal and non-renal organ system flares|Changes in SLICC-DI|Changes in HR-QOL|Changes in Fatigue|Changes in Pain|Changes in Depression|Changes in patient-reported lupus-specific disease status|Steroid-sparing effect|Cumulative systemic steroid dose|Changes in the presence of serum and urine biomarkers of SLE activity:,Medical University of South Carolina,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,81.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",MUSC-UCMSC-001,"October 26, 2018",June 2021,June 2021,"December 17, 2015",,"April 1, 2019","Cedars-Sinai Medical Center, Los Angeles, California, United States|University of California - San Diego, San Diego, California, United States|Emory University, Atlanta, Georgia, United States|Northwestern University, Chicago, Illinois, United States|University of Rochester Medical Center, Rochester, New York, United States|University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States|Medical University of South Carolina, Charleston, South Carolina, United States",130,,No Results Available,https://ClinicalTrials.gov/show/NCT02633163
NCT03840343,Patient-derived Stem Cell Therapy for Diabetic Kidney Disease,,Not yet recruiting,"Diabetic Kidney Disease|Diabetic Nephropathies|Diabetes Mellitus, Type 2|Diabetes Mellitus, Type 1|Chronic Kidney Disease|Diabetic Nephropathy Type 2|Kidney Failure|Kidney Insufficiency",Biological: Autologous adipose-derived mesenchymal stem/stromal cells (MSC) Lower Dose|Biological: Autologous adipose-derived mesenchymal stem/stromal cells (MSC) Higher Dose,Adverse Events|Kidney Function,Mayo Clinic|Regenerative Medicine Minnesota,All,"55 Years to 75 Years   (Adult, Older Adult)",Phase 1,30.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,18-002423|RMM 091718 CT 001,May 2019,December 2024,December 2025,"February 15, 2019",,"May 14, 2019","Mayo Clinic in Rochester, Rochester, Minnesota, United States",131,,No Results Available,https://ClinicalTrials.gov/show/NCT03840343
NCT04126603,Impact of Semaglutide on CD34+ EPC and Fat Derived MSC,,Recruiting,"Diabetes Mellitus, Type 2",Drug: Semaglutide|Drug: Placebos,CD34+ Endothelial Progenitor Cell number|CD34+ Endothelial Progenitor Cell Migration against serum SDF1a gradient|Gene Expression of CD34+ Endothelial Progenitor Cell number|Gene Expression of Subcutaneous Adipose cell|Arterial Stiffness: Pulse Wave Velocity|Arterial Stiffness: Pulse Wave Analysis|Body Composition: BMI|Body Composition: Body Fat Percent|Hip to Waist Ratio|Biochemistry: HbA1c|Biochemistry: LDL over HDl Ratio,Sabyasachi Sen|George Washington University,All,"30 Years to 70 Years   (Adult, Older Adult)",Phase 3,40.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",NCR191206,"August 1, 2019","August 1, 2021","November 30, 2021","October 15, 2019",,"October 15, 2019","The GW Medical Faculty Associates, Washington, District of Columbia, United States",132,,No Results Available,https://ClinicalTrials.gov/show/NCT04126603
NCT00366145,Efficacy and Safety of Adult Human Mesenchymal Stem Cells to Treat Steroid Refractory Acute Graft Versus Host Disease,,Completed,Graft Versus Host Disease,Biological: Mesenchymal Stem Cells|Biological: placebo,Complete Response of greater than or equal to 28 days duration|Survival at 180 days post first infusion,Osiris Therapeutics,All,"6 Months to 70 Years   (Child, Adult, Older Adult)",Phase 3,240.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",280,July 2006,May 2009,May 2009,"August 21, 2006",,"October 13, 2011","University of Alabama at Birmingham, Birmingham, Alabama, United States|Arizona Cancer Center, Tucson, Arizona, United States|City of Hope, Duarte, California, United States|Univeristy of California San Francisco, San Francisco, California, United States|Yale New Haven Hospital, New Haven, Connecticut, United States|University of Miami, Miami, Florida, United States|All Children's Hospital, St. Petersburg, Florida, United States|Emory University, Atlanta, Georgia, United States|Northside Hospital, Atlanta, Georgia, United States|Northwestern Center for Clinical Research, Chicago, Illinois, United States|Rush University Medical Center, Chicago, Illinois, United States|University of Illinois - Chicago, Chicago, Illinois, United States|Indiana Blood and Bone Marrow Transplant Center, Beech Grove, Indiana, United States|Univeristy of Iowa Hospitals and Clinics, Iowa City, Iowa, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|University of Louisville, Louisville, Kentucky, United States|Louisiana State University, Shreveport, Louisiana, United States|University of Maryland/Greenbaum, Baltimore, Maryland, United States|Tufts-New England Medical Center, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Dana-Farber Cancer Institute, Boston, Massachusetts, United States|Karmanos/Wayne State University, Detroit, Michigan, United States|Mayo Clinic Rochester, Rochester, Minnesota, United States|Univeristy of Mississippi Medical Center, Jackson, Mississippi, United States|University of Nebraska, Omaha, Nebraska, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Roswell Park, Buffalo, New York, United States|New York Presbyterian Hospital, New York, New York, United States|Mount Sinai Medical Center, New York, New York, United States|Columbia University/New York Presbyterian Hospital, New York, New York, United States|University of Rochester, Rochester, New York, United States|New York Medical College, Valhalla, New York, United States|Duke University, Durham, North Carolina, United States|Wake Forest Univeristy School of Medicine, Winston Salem, North Carolina, United States|Oregon Health and Science University, Portland, Oregon, United States|Penn State Hershey Medical Center, Hershey, Pennsylvania, United States|Western Pennsylvania Cancer Institute, Pittsburgh, Pennsylvania, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Texas Cancer Center at Medical City, Dallas, Texas, United States|Baylor University, Dallas, Texas, United States|Univeristy of Texas Southwestern Medical Center, Dallas, Texas, United States|MD Anderson Cancer Center, Houston, Texas, United States|Texas Research Center, San Antonio, Texas, United States|Virginia Commonwealth/Massey Cancer Center, Richmond, Virginia, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States|University of Wisconsin Madison, Madison, Wisconsin, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Royal Brisbane Hospital, Herston, Queensland, Australia|Royal Melbourne Hospital, Parkville, Victoria, Australia|Royal Perth Hospital, Perth, Western Australia, Australia|Co-Medica Research Network, Calgary, Alberta, Canada|British Columbia's Children's Hospital, Vancouver, British Columbia, Canada|Cancer Care Manitoba, Winnipeg, Manitoba, Canada|Queen Elizabeth II Health Sciences Centre, Halifax, Nova Scotia, Canada|Hamilton Health Sciences Centre, Hamilton, Ontario, Canada|London Health Sciences Centre- Westminster Campus, London, Ontario, Canada|Ottawa Hospital, Ottawa, Ontario, Canada|Toronto General Hospital, Toronto, Ontario, Canada|Princess Margaret Hospital, Toronto, Ontario, Canada|Maisonneuve-Rosemont Hospital, Montreal, Quebec, Canada|Hopital Enfant-Jesus, Quebec, Canada|Hopital du Saint-Sacrement, Quebec, Canada|Universia degli Studi di Pesaro, Pesaro, PU, Italy|IRCCS Policlinico San Matteo, Pavia, Italy|Kantonsspital Basel, Basel, Switzerland|Barts & London School of Medicine, London, England, United Kingdom|John Radcliffe Hospital, Headington, Oxford, United Kingdom|Bristol Royal Hospital for Children, Bristol, UK, United Kingdom|Glasgow Royal Infirmary, Glasgow, UK, United Kingdom|Leeds General Infirmary, Leeds, UK, United Kingdom",133,,No Results Available,https://ClinicalTrials.gov/show/NCT00366145
NCT00683722,PROCHYMAL™ (Human Adult Stem Cells) for the Treatment of Moderate to Severe Chronic Obstructive Pulmonary Disease (COPD),,Completed,"Pulmonary Disease, Chronic Obstructive|Pulmonary Emphysema|Chronic Bronchitis",Drug: PROCHYMAL™|Drug: Placebo,Safety|Pulmonary Function Tests|Exercise Capability|Quality of life,"Mesoblast International Sàrl|Mesoblast, Ltd.",All,"40 Years to 80 Years   (Adult, Older Adult)",Phase 2,62.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",801,April 2008,December 2010,December 2010,"May 23, 2008",,"December 4, 2014","David Geffen School of Medicine at UCLA, Los Angeles, California, United States|Los Angeles Biomedical Research Institute at Harbor UCLA Medical Center, Torrance, California, United States|American Health Research, Charlotte, North Carolina, United States|Upstate Pharmaceutical Research, Greenville, South Carolina, United States|Spartanburg Medical Research, Spartanburg, South Carolina, United States|Vermont Lung Center, University of Vermont, Burlington, Vermont, United States",134,,No Results Available,https://ClinicalTrials.gov/show/NCT00683722
NCT01510431,Safety and Treatment Outcome Study of PROCHYMAL® (Remestemcel-L) Intravenous Infusion in Subjects With Treatment-resistant Crohn's Disease,,Completed,Crohn's Disease,Drug: PROCHYMAL (remestemcel-L),Crohn's disease activity index (CDAI),"Mesoblast International Sàrl|Mesoblast, Ltd.",All,"18 Years to 70 Years   (Adult, Older Adult)",Not Applicable,11.0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CRD 620,May 2009,September 2014,September 2014,"January 16, 2012",,"October 14, 2016","Unviersity of California, San Francisco, San Francisco, California, United States|Stormont-Vail, Topeka, Kansas, United States|Mount Sinai Hospital, New York, New York, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States",135,,No Results Available,https://ClinicalTrials.gov/show/NCT01510431
NCT03678467,Evaluation of EpiBone-CMF for Mandibular Ramus Reconstruction,EB-CMF,Not yet recruiting,Mandible Tumor|Mandibular Injuries|Mandible; Deformity,Combination Product: EB-CMF,Number of participants with treatment-related adverse events|Bone regeneration as assessed by high-resolution CT scans|Quality of life as measured by the Glasgow Benefit Inventory,"Epibone, Inc.",All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,12.0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,EB-CMF-02,January 2020,August 2021,January 2022,"September 19, 2018",,"August 16, 2019","Cleveland Clinic, Cleveland, Ohio, United States",136,,No Results Available,https://ClinicalTrials.gov/show/NCT03678467
NCT02654925,Myeloid to Adipocyte Transdifferentiation in Human Cells,MYTH,Recruiting,Obesity,Procedure: Adipose Tissue Biopsy,"Adipogenic potential as measured by Oil Red-O staining (quantification by absorbance).|Adipocyte specific gene expression will be measured by qPCR (quantitative polymerase chain reaction) to confirm adipocyte status.|Assessment of the fraction of myeloid cells that become 'mesenchymal-like' (CD45-/CD14-/CD34+) (CD: cluster of differentiation) after fibrin culture by flow cytometry.|Progenitor cell proliferation capacity as measured by BrdU (bromodeoxyuridine) incorporation|In vivo adipogenesis in the Matrigel plug will be assessed by immunohistochemistry (IHC) for adipocyte (e.g., adiponectin) and nuclear markers (e.g., DAPI).","University of Colorado, Denver",All,"21 Years to 100 Years   (Adult, Older Adult)",,50.0,Other,Observational,Observational Model: Case-Control|Time Perspective: Other,15-1779|UL1TR001082,March 2016,December 2019,December 2020,"January 13, 2016",,"October 16, 2018","University of Colorado Anschutz Medical Campus, Aurora, Colorado, United States",137,,No Results Available,https://ClinicalTrials.gov/show/NCT02654925
NCT03169231,Phase IIb Trial to Evaluate Longeveron Mesenchymal Stem Cells to Treat Aging Frailty,,Recruiting,Aging Frailty,Biological: Longeveron Mesenchymal Stem Cells (LMSCs)|Other: Placebo,Change from baseline in 6 Minute Walk Test (6MWT) compared to placebo|Change in patient reported outcome of overall physical function capacity using the PROMIS-Physical Function-Short Form 20a compared to placebo|Change in TNF-a compared to placebo,Longeveron LLC,All,70 Years to 85 Years   (Older Adult),Phase 2,150.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",001-03,"July 6, 2017","June 30, 2020","September 28, 2020","May 30, 2017",,"December 18, 2018","University of California, San Diego, La Jolla, California, United States|University of California Los Angeles, Los Angeles, California, United States|University of California, Irvine Senior Health Center, Orange, California, United States|Stanford University, Stanford, California, United States|Soffer Health Institute, Aventura, Florida, United States|Clinical Research of South Florida, Coral Gables, Florida, United States|Clinical Physiology Associates, Fort Myers, Florida, United States|University of Florida-Institute on Aging, Gainesville, Florida, United States|Miami VA Healthcare System, Miami, Florida, United States|Vista Health Research, Miami, Florida, United States|Advanced Research for Health Improvement, LLC, Naples, Florida, United States",138,,No Results Available,https://ClinicalTrials.gov/show/NCT03169231
NCT00705120,Treatment of Severe Osteogenesis Imperfecta by Allogeneic Bone Marrow Transplantation,,Completed,Osteogenesis Imperfecta,"Other: Bone Marrow Cell Transplantation|Radiation: Irradiation, Total Body|Drug: Cyclophosphamide|Drug: Cyclosporin|Procedure: Mesenchymal Stem Cell Transplantation|Drug: Busulfan",To investigate the safety and toxicity of allogeneic bone marrow transplantation (BMT) in children with severe Osteogenesis Imperfecta (OI),St. Jude Children's Research Hospital,All,"3 Years and older   (Child, Adult, Older Adult)",Phase 1,9.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,TOIT,November 1995,July 2000,October 2007,"June 25, 2008",,"June 25, 2008","St. Jude Children's Research Hospital, Memphis, Tennessee, United States",139,,No Results Available,https://ClinicalTrials.gov/show/NCT00705120
NCT01557543,Stem Cell Injection to Treat Heart Damage During Open Heart Surgery,,Terminated,Heart Disease|Ischemic Heart Disease|Coronary Artery Disease|Coronary Artery Disease (CAD),Other: Cell Therapy,"To evaluate the safety and feasibility of direct intra-myocardial injection of autologous bone marrow stromal cells (BMSCs) in adult subjects undergoing coronary artery bypass graft (CABG) or transmyocardial revascularization (TMR).|To assess if direct intra-myocardial injection of autologous BMSCs improves the patient's cardiac function, quality of life, and reduces cardiac events compared to historical controls at three and six months after intervention.","National Heart, Lung, and Blood Institute (NHLBI)|NIH Heart Center at Suburban Hospital|National Institutes of Health Clinical Center (CC)",All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 1,24.0,NIH|Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,120078|12-H-0078,"February 29, 2012","July 25, 2017","June 18, 2018","March 19, 2012",,"July 4, 2018","Suburban Hospital, Bethesda, Maryland, United States|National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",140,,No Results Available,https://ClinicalTrials.gov/show/NCT01557543
NCT00114452,Safety Study of Adult Mesenchymal Stem Cells (MSC) to Treat Acute Myocardial Infarction,,Completed,Myocardial Infarction,Drug: Provacel,"Comparison of treatment adverse event rates between the 0.5, 1.6 and 5.0 million mesenchymal stem cells per kilogram dose cohorts and placebo groups.","Mesoblast International Sàrl|Mesoblast, Ltd.",All,"21 Years to 85 Years   (Adult, Older Adult)",Phase 1,53.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",401,February 2005,October 2006,February 2009,"June 15, 2005",,"December 4, 2014","Arizona Heart Institute, Phoenix, Arizona, United States|University of California - San Diego; Thornton, San Diego, California, United States|Washington Hospital Center, Washington, District of Columbia, United States|Rush University Medical Center, Chicago, Illinois, United States|The Care Group, Indianapolis, Indiana, United States|Jewish Hospital, Louisville, Kentucky, United States|Johns Hopkins University, Baltimore, Maryland, United States|Washington Adventist, Takoma Park, Maryland, United States|Minneapolis Heart Institute, Minneapolis, Minnesota, United States|Columbia Presbyterian Hospital, New York, New York, United States|University of Rochester - Strong Memorial, Rochester, New York, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States|University of Pennsylvania Medical Center, Philadelphia, Pennsylvania, United States|Austin Heart Institute, Austin, Texas, United States|Texas Medical School, Houston, Texas, United States",141,,No Results Available,https://ClinicalTrials.gov/show/NCT00114452
NCT00136903,Safety and Efficacy Study of Adult Human Mesenchymal Stem Cells to Treat Acute GVHD.,,Completed,Graft vs Host Disease,Drug: Prochymal - 2 million cells|Drug: Prochymal - 8 million cells,"Protocol 260 - Response by Day 28, also called Overall Response. Overall response. includes complete response (CR) and partial response (PR)|Protocol 261- Patients were followed for 2 years for safety. The incidence rate of different adverse events among subjects treated with either dose of Prochymal® in the preceding study (Protocol No. 260).|Protocol 260 - Partial Response or Improvement of GVHD by Day 28 in one or more organs involved with GVHD symptoms at Day 1,|Protocol 260 - Time to best response of GVHD|Protocol 260 - Time to improvement of GVHD in one or more organs|Protocol 261 - Survival through study day 90",Osiris Therapeutics,All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 2,33.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,260-261,February 2005,July 2008,July 2008,"August 29, 2005",,"September 4, 2009","St. Francis Hospital, Indianapolis, Indiana, United States|Kansas City Cancer Centers - BMT, Kansas City, Missouri, United States|The Cancer Center at Hackensack University, Hackensack, New Jersey, United States|Roswell Park Cancer Institute, Buffalo, New York, United States|Mt. Sinai Hospital, New York, New York, United States|University of Rochester, Rochester, New York, United States|New York Medical College, Valhalla, New York, United States|MD Anderson Cancer Center, Houston, Texas, United States|Medical College of Wisconsin, FEC, Milwaukee, Wisconsin, United States",142,,No Results Available,https://ClinicalTrials.gov/show/NCT00136903
NCT02501811,Combination of Mesenchymal and C-kit+ Cardiac Stem Cells as Regenerative Therapy for Heart Failure,CONCERT-HF,"Active, not recruiting",Ischemic Cardiomyopathy,Biological: Mesenchymal Stem Cells (MSC)|Biological: c-kit+ cells|Biological: Placebo (Plasmalyte A),Change in Left Ventricular Ejection Fraction (LVEF) as measured by cMRI|Change in Global Strain (HARP MRI) as measured by cMRI|Change in Regional Strain (HARP MRI) as measured by cMRI|Change in Left Ventricular End Diastolic Volume Index (LVEDVI) as measured by cMRI|Change in Left Ventricular End Systolic Volume Index (LVESVI) as measured by cMRI|Change in Left Ventricular Sphericity Index as measured by cMRI|Change in Infarct/scar Volume (DEMRI) as measured by cMRI|Change in Maximal Oxygen Consumption (VO2 max) as measured by treadmill|Change in Exercise Tolerance as measured by the six minute walk test|Change in Minnesota Living with Heart Failure Questionnaire (MHLFQ) Score|Cumulative Days alive and out of hospital for heart failure|Change in N-Terminal pro-Brain Natriuretic Peptide (NT-proBNP) as measured by blood draw|Incidence rate of Death|Incidence rate of Hospitalization for Heart Failure|Incidence rate of Heart Failure Exacerbation (Non hospitalization),"The University of Texas Health Science Center, Houston|National Heart, Lung, and Blood Institute (NHLBI)",All,"21 Years to 79 Years   (Adult, Older Adult)",Phase 2,144.0,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",HSC-SPH-15-0413|5UM1HL087318,October 2015,November 2019,May 2020,"July 17, 2015",,"August 8, 2019","Stanford University School of Medicine (Falk Cardiovascular Research Center), Stanford, California, United States|University of Florida-Department of Medicine, Gainesville, Florida, United States|University of Miami-Interdisciplinary Stem Cell Institute, Miami, Florida, United States|Indiana Center for Vascular Biology and Medicine, Indianapolis, Indiana, United States|University of Louisville, Louisville, Kentucky, United States|Minneapolis Heart Institute Foundation, Minneapolis, Minnesota, United States|Texas Heart Institute, Houston, Texas, United States",143,,No Results Available,https://ClinicalTrials.gov/show/NCT02501811
NCT00361049,Donor Mesenchymal Stem Cell Infusion in Treating Patients With Acute or Chronic Graft-Versus-Host Disease After Undergoing a Donor Stem Cell Transplant,,Completed,Cancer,Biological: graft versus host disease prophylaxis/therapy|Genetic: fluorescence in situ hybridization|Other: immunoenzyme technique|Other: immunohistochemistry staining method|Other: laboratory biomarker analysis|Procedure: in vitro-treated bone marrow transplantation|Procedure: management of therapy complications,"Safety|Complete and partial resolution of graft-vs-host disease (GVHD)|Cytokine levels, lymphocyte subsets, and donor-reactive lymphocyte numbers in patients with acute GVHD",Case Comprehensive Cancer Center|National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1,49.0,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CWRU3Y03|P30CA043703|CASE-CWRU-3Y03,September 2004,June 2009,November 2010,"August 7, 2006",,"November 5, 2010","Geauga Regional Hospital, Cleveland, Ohio, United States|Lake/University Ireland Cancer Center, Cleveland, Ohio, United States|Ireland Cancer Center at University Hosptials Case Medical Center, Case Comprehensive Cancer Center, Cleveland, Ohio, United States|University Suburban Health Center, Cleveland, Ohio, United States|UHHS Chagrin Highlands Medical Center, Cleveland, Ohio, United States|Southwest General Health Center, Cleveland, Ohio, United States|UHHS Westlake Medical Center, Cleveland, Ohio, United States|Mercy Cancer Center at Mercy Medical Center, Cleveland, Ohio, United States",144,,No Results Available,https://ClinicalTrials.gov/show/NCT00361049
